,message,label
106,"just had a real good moment. i missssssssss him so much, ",0
217,is reading manga  http://plurk.com/p/mzp1e,0
220,@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 ,0
288,"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. ",0
540,ADD ME ON MYSPACE!!!  myspace.com/LookThunder,0
624,so sleepy. good times tonight though ,0
701,"@SilkCharm re: #nbn as someone already said, does fiber to the home mean we will all at least be regular now ",0
808,23 or 24ï¿½C possible today. Nice ,0
1193,nite twitterville  workout in the am  -ciao,0
1324,"@daNanner Night, darlin'!  Sweet dreams to you ",0
1332,Good morning everybody! ,0
1368,Finally! I just created my WordPress Blog. There's already a blog up on the Seattle Coffee Community  ... http://tinyurl.com/c5uufd,0
1578,kisha they cnt get over u til they get out frm under u just remember ur on top ,0
1595,"@nicolerichie Yes i remember that band, It was Awesome, Will you please reply ",0
1861,I really love reflections and shadows ,0
1889,@blueaero ooo it's fantasy?  i like fantasy novels   will check it out,0
1899,"@rokchic28 no probs, I sell nothing other than my blog http://snedwan.com  I'll have to get a listen to your band, on iTunes?",0
1919,@shipovalov &quot;NOKLA connecting people&quot; ?? ???????  ??????? ,0
1992,Once again stayed up to late and have to start too early  It is a good thing I like my job,0
2097,"@Kal_Penn I just read about your new job, CONGRATULATIONS!  That's fantastic.",0
2126,haven't been able to sleep at ALL. i think i'll watch Ugly Betty online. ,0
2218,woo thanks ron and steeve for following me yeow i have folowerssss  haha  p.s i wanna got to the ellen show ,0
2271,@aidenchan yeah sure but its my sister's so take EXTRA gd care ,0
2468,@sian_the_mouse yay! a duck! if i want anything watching me it'd be a duck!  lol,0
2656,smaaack that ass! hahhahahaa  i make myself laugh!! oOooOh sleeeep! ahha g'niite!,0
2723,woo. its late! haha  goodnight twitterverse! xoxo,0
2763,Looking forward to the meeting with Pastor Kong and JW later! ,0
2792,@doubleickey u know those minichocolates in the shape of liquor bottles? with liqour inside em ,0
2853,Testing to see if twitter works thro facebook ,0
2874,NIGHT babies. Got a VH1 thing in the am  Check out my pics! http://twitpic.com/2y57u http://twitpic.com/2xzl1 http://twitpic.com/2y5s2,0
2997,got the magic numbers and is thanking y'all for the support ,0
3008,"it's cold, man am i loving this weather ",0
3011,"Ok guys - we've officially launched new languages #Swedish and #Russian - really fun, if you ask me!  www.surveypirate.com",0
3311,The lady who bought the bracelet pictured as my twitter page background is still wearing it a week later -- hasn't taken it off. Likes it ,0
3527,@ DwanB i ate filet american this morning  and i cant see your pic on mobile twitter,0
3691,booked my hair appointment ,0
3742,"My Report Was: English: B-, Modern History: A-, Geography: B, Maths B: B-, Accounting: A and IPT: A      ",0
3838,"@DTPHULP  lol, me too....    You do know that the sound of your voice is great ?  We only need to do some euh fine-tuning... ",0
3984,Cupcake heaven! http://ilovecupcakes.co.za/  check out the shop!  nice #design  (weird contact info popup tho),0
4111,Bought the MH bundle? Create a task called &quot;Mario&quot; or &quot;Star Wars&quot; in &quot;The Hit List&quot;. Make sure your sound is on and complete the tasks! ,0
4191,someone turn on the shower please!! ,0
4440,@frumousme yeah there are so many of us angry feeters  Tim's THAT good lol... I have been good I go on I  just havent posted for a while,0
4519,@Carly109 love the new song. and the chorus is real nice and catchy.  gud job. who did the track and recording jordan?,0
4536,@TayJasper alrite thanxx ,0
4581,@889grapevine Looking forward to the new website ,0
4641,@modejunkie awww sweetness! But he's still a cutie! ,0
4667,@rowanberry  ohhh sending loads of Positive vibes your way ,0
4731,@tcouto Cool stuff! ,0
4788,Celebrating a minor banking triumph (that's banking with a b). Got one to admit it was wrong ,0
4828,@cosmicgirlie Thinking of you. Everything crossed  Turn baby turn!,0
4895,@EmmaLight I'd forgotten about that  We need to do that again sometime.,0
5496,@tommcfly Eclipse is awesome  it's better than new moon,0
5561,Tired today - drunk husband to be rolled in at 1am with bunch friends for another drink! Noisy lot ,0
5638,"@ingorammer well it is definitelly worth trying, you'll notice the difference. But it's not my favorite neither ",0
5709,@mileycyrus good morning Miley ,0
5713,Finished my first shift and doors are opening already! ,0
5724,Nothing quite like finding good amp settings from a solid state amp ,0
5862,@gee_lo is it paid? i was made redundant two weeks ago and need a job big time. ,0
5865,Watching the steam trains go back and forth in Ravenglass - sunny! ,0
5972,@nat_ski how bout  some Steppenwolf - Magic Carpet Ride? ,0
6024,@shannanstedman haha maxxie beat whippet ,0
6050,Yaaaaay. Jac is training my sorcerer to level 35. That means I'll be pwn soon. ,0
6197,My doggy is so cute. ,0
6496,@nicharry Tell her Simon &quot;who used to be from Tuks FM&quot; says Hi ,0
6554,@ WildstarB - Happy Rezday Captain   - and that was quite a party!,0
6617,"this car is costing me an arm and a leg, but it's so cute I have to forgive it! ",0
6777,tweeting from cracker barrel  ,0
6884,"@What_Amy_Said Phillip Schofield! The Schofe! He's a legend, Amy, you need to follow him  he's on my page.",0
6900,is about to check out his new techno records from juno ,0
7016,@RLN49  Too funny!,0
7078,i have to go now.... make up duty for tomorrow...... goodnight to all.... ,0
7116,@StarrGazr Yes mam! There's nothing like starting the day with a good song and a few dance moves ,0
7331,going to paint my nails then get some foood ,0
7510,Is in Athens ,0
7548,"@pjakobs as in, someone would figure out how to access the mp3s without actually paying for them. ",0
7815,@Toothology oh crap! i'm sure they won't dare charge for customer care in India though ,0
7892,is handmade goodness at the moment  xxx,0
7908,@ImASadGiraffe brownies are good any time of day ,0
7941,Checking myspace while looking at bands from different states so i can add them as friends on myspace  I LOVE MUSIC!!!,0
7979,"Happy Birthday to my Grandpa.  He has 3 cats, but I still love him. ",0
8095,@fictionals your nose is clogged? use a plunger then ,0
8152,"@inque54 huy, matulog ka na. hahah. CBroom ain't done yet, but it's taking shape ",0
8174,@adamSEO  it couldn't have come at a better time,0
8232,2 days of school left this week and im beyond excited for saturday!!!! ,0
8401,Just a simple girl..oatmeal makes me really happy in the morning..and the blooming wisteria ,0
8414,"@Beverleyknight I'm fine, thank you.  Keep being beautiful always. ",0
8698,"@aplusk thats beautiful, what a lovely thing to say ",0
8893,@dougiemcfly Change your name to Michelle. ,0
8972,@starboy_ yay!!! well dont i feel spesh! ,0
9041,Another year older today!  At least it's sunny out! ,0
9527,"@kdurose yep, but we fought back well. think it will turn out to be the decisive moment in winning the league again though ",0
9696,@LouisS Thanks. I've lived in Florida since 1994 and I miss snow ,0
9732,goin abroaaaaad tomrow.. Dubaiiii Can't wait... So long twitters... I only have room for prodigy  sorry peeps!,0
9752,"@MELindsey lol, he has no shame ",0
10053,@urbanfly do y' mean M.C Escher (the painter not the DJ ,0
10149,": I wish school was like those revision sessions. Classes of 10 in non-uniform, able to have a laugh and learn at the same time.  ",0
10509,Nothin' like a good book and some spring cleaning.  http://www.mrsdlightful.com/2009/04/food-storage-and-pantry-cleaning-tips.html,0
10566,"@kerryn8 Thanks, appreciate your feedback ",0
10611,i'm listening MUSIC ,0
10772,"@mileycyrus hi Mileeey! my friend and I can't wait to your come to Spain! we are so excited! we love all of your songs, all are great ",0
10844,@robotsarecool Another big table touch screen  WOOT http://www.tuaw.com/2009/04/07/illusion-labs-goes-to-the-big-screen/,0
10899,"@nikhilnarayanan No, no. You are mistaken. My uncle is the PM of Angamali. Any of these anTWIcs there, and you are gone case!  #shavam",0
10909,@jptoto Cause we don't have Gems ,0
10933,"The official result came out, PR won 2 seats whereas BN only 1 seat. Congratulations PR! ",0
11026,@glovely  Thx for  the advice! We are just waiting for the Petosin to kick in ,0
11082,"Im playing hooky from work today, my voice is really gone tho so im @ home today ",0
11098,I love spontaneous road trips ,0
11122,I'd love to tweet all day today but I have work to do that must get done so I'll tweet when I can. God bless everyone!  #tcot,0
11187,@Pepperfire Is it Friday yet??  How are you baby?  #tweepletuesday #followfriday,0
11219,Am taking advantage of the sunshine and am going to take the dog on the beach for a walk...no work for 12 days....yipeeeee ,0
11457,"... still employed, no trouble there      it's other stuff that's not as sweet",0
11493,Let's see how well this 2.5 hours of sleep holds me today.  I predict a massive slowdown by 14:30.  That should be funny. ,0
12141,"came back from seeing 17 againn,, was gooddd  &lt;3",0
12145,@superhootie Maybe... just maybe! ,0
12294,@KimKardashian Sooo I just watched Disaster Movie ABSOLUTLY HILARIOUS!!!  Ur my idol ,0
12348,@kvanduyne I am happy you and mandy had a safe trip.  I have never been to VA Beach.. Enjoy ,0
12446,@jmacgirl1992  I'd sign up for the extra credit ,0
12483,Falling asleep here. So goodnight everyone ,0
12633,"@hwork I've been living in Twitter API land for too long, over there we call it the oauth buttons http://bit.ly/70yRH ",0
12680,me and my mates are gunna chekk out a movie next week..i really want to see the boat that rocked. ,0
12711,"@BananaAnna2008 @mikequad I TOTALLY AGREE WITH YOU, ANNA!! ",0
12715,@Wordee Follow us so we can contact you! ,0
12805,I love a good book ,0
12864,"With my sister from another mister, Kayla ",0
12942,i will be the sun in your sky. i will light your way for all time. promise you. for you i willll.. ,0
12998,@betty822 that sounds like a pretty good night to me ,0
13013,"according to the rosters, this hockey season won't be so bad after all  hah.",0
13075,Happy Gilmore is on ,0
13256,@nick_carter Lmao. I guess its only Friday. My bad ,0
13465,"@WayneNH I wish I wasn't following you so I could be your 1,000 follower, Wayne ",0
13983,"Time for a shower and french toast. No, not together. ",0
13990,@myucan91 daamnn...:| im not even going to ask if it was boring...come to hk? ,0
14276,Today is Thunder Over Louisville - the start of the Derby Festival.  I love being here for the festivities even if I'm not going.  ,0
14448,"Good mornin folks, I think I'll make a couple of home made egg mcmuffins to go with this excellent coffee on this clear sunny 58* mornin ",0
14496,thinks that Kellan Lutz is hot when he smokes ,0
14714,"Okay, have torn apart my work. Fresh coffee &amp; peanut butter toast then I'll try and put it back together again. Only less crap this time ",0
14890,"Relaxing before guests come, hope everyone likes  the food ( I know Morton won't) have made plain rice for him ",0
14942,@SURFislikeaBoss me hair ain't Red its da light its blonde and black!  @jamesissexy Hey Hotty!  @firesty who da other girl?,0
15251,Today is the day ,0
15370,"Shopped Queen St in the sun yesterday, likely the last time for a while, I need to find the SF equivalent of that experience!   ",0
15420,Backgammon then a birthday meal for a friend later on ,0
