,message,label
263019,"@yelyahwilliams LOL! You're awesome, Hayley!!! Paramore Rocks!!! Love from COLOMBIA!!! ",0
263020,"@Chrissyisms Thank you, have fun wherever you go ",0
263356,@ChickadeZzz DEAD!uhmm...that's pretty much been established already ,0
263540,@ps7girl Awww thanks jessica for the shout out! Love uuuuu tonsssssss ,0
263571,getting my new car on monday  yay me !!,0
264010,"@joliechose I just sent one!I love when I see on my bill &quot;sms to North America&quot; &lt;333 and yes,Coke is the best medicine ",0
264156,"VH1 has the 20 greatest electro 80's on ATM ha ha, love it ",0
264237,it's such a chilly day! but i like it! i get to dress nice &amp;&amp; toasty ,0
264247,@kristi_link You know I think you're right! Will be great to see Calvin on MTB again. ,0
264314,@mwsmedia doh! i always assume if there is rain then they aren't talking about cali ,0
264437,"@danimichelle I am home with a full heart, and a sunburned head   It's all good!",0
264695,@JL_Anderson  Me too.. I'll try that next time. ,0
264846,@lornayee i hope to try one soon ,0
264879,@JackieB LOL.  oh btw hai from mah laptopz.  you'll see it tuesday ,0
265137,"@KalebNation Congrats for the Borders Media interview, Kaleb! ",0
265223,Tryouts done..yah!!! Eating Mexican with the bf. The gonna watch the lakers play..it's the weekend  yah!!,0
265341,Weekend with the 151 girls in Baltimore  ,0
265576,@thetateway .. that you are not afraid to use 4-letter words ,0
265661,"E just asked how to go around the pole. What next, clear heels? ",0
265704,my day was amazing ,0
265730,@delanelyn Im excited and scared 4 u all at once lol  hahahha i cant wait for u to tell me how u like the south  its wierd but i &lt;3 it,0
265938,"@jonasbrothers my favorite song its about the new cd: paranoid, hey baby, and bout the other cds: video girl, bb good, shelf, tonight ",0
266322,fantastic song  ? http://blip.fm/~7aaxh,0
266405,"Coming up around 7:30pm CST, photos from the Crookston, MN high school graduation ceremony!!!! I know, but you'll just have to wait ",0
266588,How I make a Living doing nothing  http://bit.ly/ZRZMB,0
266685,Just been to see Night At The Museum 2. It was a really good  I'd recommendd ,0
266786,hows everyone today ,0
267099,@JessikaSays yah basically she is right ,0
267270,Yeeeeaaaaahhhhh baby! Enjoying a cold one while bbqing some ribs. Life is grand ,0
267481,I feel almost 100% from that stomach virus thing!    Yay!,0
267583,@TeamHate the blue one ,0
267925,@mileycyrus I love you o most awesomest devine delight of my life  How's my memory lol,0
268202,@katiazev Save the filakia for some hot blond Scandinavian boy later this summer.  The invation from the north is coming soon.  ,0
268216,"@TimCAD Good god man, are your hands ok?? ",0
268259,@MrArtClark whatcha doin' tomorrow?  I am sure all will be fine ,0
