,message,label
349966,@djreplay You're at the Kogi truck??? Omg! We were totally gonna go today! Been wanting to try it for ages! How is it?? ,0
349976,@fedgrub thankyouu ,0
350060,Raining. Got @ddlovato on repeat. This day couldn't get any better!  - wait! Kelly Clarkson's on Rove....booyah!!!!! ,0
350185,Goodnight my lovelys ,0
350307,http://bit.ly/18mdyM  tech is changing the way we FARM!!! AWESOME ,0
350344,"@KirbyC 24 kgs? Sounds like a lot--maybe too much? Don't do it fast, do it for good ",0
350347,"@berryanarchy Don't be jealous, this is nothing special, just some coffee with cheap blended in it ",0
350402,@ColorblindFish got your beer goggles ready to go? lol ,0
350659,http://twitpic.com/6biim - ( bobby + ritz ) me &amp; miu miu @ butter ,0
350778,@ginoboi hi gino! hope u havva good day today! ,0
350805,still watching. ,0
350862,just got off the phone with my babylooove&lt;3 ,0
350883,"Wow, today is the last day of May. June 18th is our 4 year wedding anniversary ",0
351067,@digijustin yes it has...and one of my best friends is profiting from it... ,0
351085,@ShelbyCobraaa girrrrrrrrl are u coming with michaelmusso to the show/cdpresentation in el cajon? on june 7th? ,0
351235,@miss_paola I wish u were talkin bout ME..... ,0
351410,"just saw playradioplay with scottie. one of the greatest nights, EVER. i love you sweets  oh and, casey denicore likes boys",0
351456,@_ANNiCA_: Alchi!!  Im on some absolute rite now... Yay to alcoholics!! Woo hoo    Rio (G.M.B),0
351574,#Glee is definitely my new favorite show...thank you @aaalisson for telling me to watch it ,0
351586,Dads side of the family and getting drunk with them. Always the best. ,0
351609,@FollowMe_RnBE Blue - One Love  .. next time,0
351729,Good Morning Tweeties xx ,0
351809,watching JT on SNL...that dude is hella funny! ,0
351854,"Back in Abu Dhabi, back at work.  Would rather be at the lighthouse or in Gay Paree.... ",0
352080,@Styla73 Thank you. ,0
352592,"Finally on the road, txt me when you wake ",0
352640,@chemicalguy Lol  my bad.,0
352670,@coffeencupcakes ahhhhh! i remember that poem. love it ,0
352674,well...im at danielle and bryan's house once more  gotta get up early with taylor!! workin from 12-9 again.,0
352691,One more day and i'm done with my 7 day work week run. i may finally get some sleep. ,0
352725,The Lord wouldnt put me in a situation that i couldnt handle. ,0
352879,"just watched &quot;O&quot; cirque du soleil at the bellagio, it was soo amazing! ",0
352959,"on the bed with matt, if he can be on a laptop then so can i ",0
353029,drinking iced coffee  and eating fries w/ big mad sauce ha,0
353074,"@josemario52 DID YOU GET ANOTHER TEXTTTTTTTT.  aahahaa, im goin to send u one every hourr. ringg!",0
353086,"@jared_sheldon jared, tweet the photos of the airport. deffo wanna see it too!  xx",0
353172,Incoming ,0
353217,@tw33tiebyrd I'm so happy I got 0.5cc's of liquid gold pumped tonight! It'll just keep flowing more now hopefully helping her get strong. ,0
353243,cuddle weather ,0
353481,is about to go out for a run  31 days until i go on vacation haha ;D 11 days without parents yay xD,0
353554,@olow I'm having plenty of fun tonight for ya buddy!!! ,0
353737, @remysoon,0
353874,@mathiel Zooyork. never mind that. ,0
354051,"@QUEENCLARA You wouldn't be bothering us! Yeah, don't forget to give us a call ",0
354072,http://twitpic.com/6blfz - i never turn down a hot fudge sundae. even at 12:30am.. heistheebest ,0
354184,"I turned my twitter back on.  On my way to San Antonio. Riverwalk tonight, Fiesta Texas tomorrow, and competit.. http://tinyurl.com/n57944",0
354210,"@ohaiilisha coolio, thank you ",0
354251,hooked up to Restaurant City  wish i could have one for reaalllls... nyahahaha ),0
354258,@Rosymeg - Will see you l8tr! ,0
354542,"@suziperry i have to agree with you though, 2 weeks of tennis soon, there is no 2 weeks of motorsport, hope u have fun anyway ",0
354574,I love the ringing in my ears...twas a good night ,0
354707,morning  today is gonna be a twitter-less day (basically a fun-less day!) bio revision alll day - wish me luck ,0
354711,"http://twitpic.com/6blx4 - First picture of baby squirrel, she's all shy but SO sweet ",0
354716,@portart We are one world.. ,0
354757,@kylieireland yay!  thanks for sharing!  are you feeling better than last night?  ,0
354915,"We're all set for the last day of the clothes show,it's sure to be a great one ",0
354995,@sadieefacee Good things come to those who meet ,0
355007,@theebayk1d ... I'll make something for you. I'll make a card and then design something. ,0
355123,@kcbworth ha! you should have dropped in on the way past for a cuppa! ,0
355168,going to Rove tonight ,0
355239,Well.. Now that's even good that I have an assignment in august  I WILL earn some money!,0
355263,@Rkprincess nice picture of you and your hubby ,0
355420,Laying in the sun waiting for M ,0
355504,http://twitpic.com/6bmgw - Last one from today. Its just so beautiful in person ,0
355528,i think julie andrews is still amazing.. ,0
355549,ahhhh... the drought has ended  &amp; visited my 1st sex shop here.. lol,0
355672,I GOT YOU ME AT SIX'S NEW SONG ,0
355799,"morning twits happy sunday ya'll, from a sunny Durham ",0
355862,"@GeekPornGirl yes, that was me ",0
355876,@EvaRut08 thought you would like the email ,0
355930,@worodal7ob ???? ????? ??? ,0
356187,@minorityx hahaha not at all bb  k i'll go get my phone ,0
356220,updating my twitter status... I told you I was not going to behave accordingly with this site ,0
356455,"@jeremyoulton cool. Microbiology was something I wanted to do after seeing Outbreak, but my parents sold me engineering. I can't complain ",0
356493,Such a beautiful day...almost! ,0
356505,"@_Cube_ Rebecca is not being ignored, she is making me some desert ",0
356694,is talking to Kath and Johann about going to Vegas.  http://plurk.com/p/xcr4y,0
356706,"Loving the weather this morning, might go and find a field to take photo's in ",0
356708,"@erinmilne We have a proper dryer here. It totally OWNS. Yeah, fuck the environment! We use http://www.ecotricity.co.uk anyway. ",0
356799,"Ha ha 'Night at the roxxxberry' is on, I loves it ",0
356823,@ladybug8320 We will - have a great day too! ,0
356916,Night @pianzi  take it easyyyyy ? http://blip.fm/~7d7jw,0
357032,whoohoo Mtv Movie Awards Tonight ,0
357048,Perfect day in West Cork  A big happy Hello to everyone ,0
357113,fuck yeah  lakers all the way  baby,0
357116,"Now to unload van to go and stock up for tomorrow at Innishannon, thankfully not doing it in the rain this weekend ",0
357128,In 2 weeks time I can be sat outside with a coffee in MY GARDEN!!! Woooo  So exciting!! It will probaby rain forever more!,0
357197,"@Just_Emotion ? ?? :crazy:  D ????? ???? ????????????? ??????????? ? ??? ????? ?????? ?????????? ? ???????? ????, ??????????? ?????? ",0
357215,"Another lovely day here in Essex, looking forward to being in the sun for most of it ",0
357475,@hannahlovesa7x yes it does  it is like the worst movie ever,0
357595,"109  left, funny limitation.",0
357645,I got a new t-shirt  Its in my profile pic and it says &quot;I gotta get laid&quot;  *not the same to real life*  tweet tweet,0
357671,"@rob_caporetto apart from characters etc., which is cool. my pet hate is knowing something from a later ep that spoils an earlier ep ",0
357690,Great first sermon by @phillipsc  today is a 2 eucharist SPF 30 day....,0
357727,Confidence is always at an all time low. Hahaha. I'm soo used to it.  watching Harry Potter and the Order of the Phoenix. ,0
357827,@NovaWildstar Not the same as RL snuggles but I guess it'll do.  Off to Trafford centre later to borrow a motorised chair and buy stuff ,0
358163,"My personal blog recently updated, follow me here!  http://thelifesrefuge.wordpress.com/homepage/",0
358331,@birdblogger so happy maybe it was the same one it made my day ,0
358358,on the phone with kaihlaniii ,0
358541,@danuk695 oooh where you going shopping  x,0
358742,"listening to Jack Johnson. aaah, sometimes rainy days just feel so relaxing ",0
358798,@liveguy niiiiice ...talkin to @ragenfykes right now...she's out there!! coooool ahss chickadee  what u goin to school for?,0
358918,@Derfdogdreams  thank you ,0
358961,"drank for the first time in 4 months, wasn't quite as bad as I remembered. Going to Ikea to get sweedish furnature and eat hotdogs ",0
359083,7 yr old D has to speak to class on her favorite author. Her choice-mom! Why? I am writing a book + if would finish it I'd be an author ,0
359100,"@zawfi WOW, are you on the west coast? But hey, I am a morning person, so I don't mind too much ",0
359210,mum &amp; sister stay here tonight too ,0
359237,"@MGMarts @kreativlink lol, girls! we have such a wonderful weather here in The Netherlands - for a change, haha ",0
359268,BGT was great last night. DIVERSITY WON ,0
359334,@mileycyrus its true that all you need is love but sometimes you have to think about if your getting love from the right person  x,0
359438,"Right, tannwick off out to enjoy sun with aid of GPS and cachemobile ",0
359623,"@jussisolja Ok, I'll need a hands on with it then  Still, I think I'll go w/ Samsung's OLED Android goodness...",0
359675,"Stayed up till now, which is now 5:43am, out with Selene and friends for her bday  was awesome",0
359890,woo hoo another nice day ,0
360209,English Breakfast in the sun  Keep having to remind myself I'm not  on holiday.  Breakfast then beach ,0
360500,"What a brillant day, a great for a walk up Black Mountain or a stroll in Colin Glen Forest Park or perhaps a cool pint of the black stuff ",0
360518,"I love this type of weather,windy and cool, it makes me feel that I'm still young ",0
360521,"just watched hannah montana,, ",0
360687,@jdeisenberg: &quot;There are many things about XML Schema that are just plain bizarre.&quot; JC  I'll second that.,0
360765,"shares http://tinyurl.com/nsvg8a (watch nyo  crazy karter, sweetlover! ) http://plurk.com/p/xd8oj",0
360990,@abhi_jith So happy to hear that. ,0
361041,getting ready for a day full of sunshine and fun! ,0
361150,"&quot;Take a bottle, shake it up. Break the bubble, break it up&quot;  This song is best played VERY VERY loud  ? http://blip.fm/~7d9ph",0
361305,"@mmitchelldaviss whoops, i posted on my homepage, but here is it   http://i195.photobucket.com/albums/z75/CaptainOfCuteness/illllamd.jpg",0
361361,rt @ammr: ??????? ??? ???? ????  .. ???? ?? ???? ??? ?? ????? http://ping.fm/A4BH1,0
361424,Happy Pentecost Day to all of you! May the Power and the Presence of the Holy Spirit bless you richly today and every day in Jesus' Name! ,0
361440,We The Kings + Out Of Sight in Nottingham tonight  Gonna be so much fun! ,0
361558,YEY the weather here is finally taken a turn for the bettter!  we have had sun for the last 4 days! ....damn thats probly jinxed now :S,0
361559,@hiyuhime Yes indeed! ,0
361576,@lancearmstrong Goodluck ,0
361583,2nd sunday in radelaide... So far so good ,0
361589,@ShanaeRawlings joking :p. AND don't forget its freaking cold and put a jumper on and im wearing shorts for some reason ,0
361678,Wow i just voted for the MTV movie awards! i voted for miley in her 2 categories 30 times each!!! i hope she wins! ,0
361721,Hello world! Listen the Radio Dabas online: www.radiodabas.hu left corner above - PRï¿½BA SZERENCSE ,0
361722,@vr000m: convocation is once a year. Most MTechs finish their thesis a little after the  convocation. ,0
361786,@SandraBernhard  Got to get when you can here! ,0
361842,@aymanelhattab plz check ur direct msgs' inbox ,0
361848,@30SECONDSTOMARS Sweet dreams! ,0
361897,@roflucy algebra is easy lucy ,0
362017,trying to get an itunes receipt and listening to tinpan orange ,0
362030,@uliwitness that depends on how well you pull it off! ,0
362052,&lt;3's Daniel Merriweather's new album - specifically Water and a Flame...his song with Adele ,0
362525,anyone want a blog they want linked to? looking to fill out my blogroll  http://is.gd/KyZn from @ggw_bach new look !  http://bit.ly/7XB2s,0
362699,1st Wedding Anniversary today   Here's to many more blissfully happy years together.,0
362860,Finally Twitter is working ,0
362914,Hi bethy ,0
363112,"@amber_benson We all definitely need more up!  Down with down, have some more up, 7up, 1ups and fruit rollups. ",0
363196,@K7vans Yeah it's 7:00AM here. Still too early... Good morning to you ,0
363228,What a day!!!  Went to 3 locations of Hillsong Church and love our Kidmin more than ever!!! Now time to REST ,0
363278,@daisyrjordan awww thanks haha  added you xx,0
363279,Doing sketchy things. Love my life ,0
363395,"welll, ie got people to go to town with   let me know if your gna come DDDD",0
363677,@tysonritteraar  good morning. not feeling so great - up til 3 watching Abandon play. Amazing gig though ,0
363747,@c4lpt Redesign looks good. Pleasant improvement ,0
363810,@xxHeyyCourtxx aww hope you feel better. im about to drop so ill talk to you tomorrow  love you loads gorgeous xoxxx,0
363860,@Wossy  Morning hope you got some nice coffee to go with the croissants ,0
363958,@BethIsBaffled_ WOW Beth i just went on your myspace and listened to the tracks u recorded. They're really good!! ,0
363970,"@ztnewetnorb O: i was thinking barney the dinosaur live, but okay ",0
363987,hahaa..you will not!did you watch SFTW?  i hear u went for dinner on thurs night with anishahow is she??,0
364003,I'm gonna go out in the sun for a bit before I have to the meal ,0
364038,"@Hanster7705 http://twitpic.com/6bs1n - awwwwwwwwwwwwwwww, he's so cute ",0
364159,@jokoness WOW! What's this partnership all about? ,0
364243,@kate_reuvers Poo to that. Time to move out perhaps? Back to Melbourne? ,0
364325,@emsha24 hello misha! it has been a long time. ,0
364500,Just woke up.  I missed my tweetee,0
364775,@nere13 Heya  I'm fine thanks  wuu2 today? xxx,0
364818,Think the sun has melted everyone away like ice lollies.lol ,0
364871,i need a few more comments on the next part of trouble &amp; then i'm gonna post the second part of you/i. comment y'all ,0
364875,happy birthday to me  &lt;3,0
